Date,Unix,Ticker,Price,stock_p_change,SP500,SP500_p_change,Market Cap,Enterprise Value,Trailing P/E,Forward P/E,PEG Ratio,Price/Sales,Price/Book,Enterprise Value/Revenue,Enterprise Value/EBITDA,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue,Revenue Per Share,Quarterly Revenue Growth,Gross Profit,EBITDA,Net Income Avi to Common,Diluted EPS,Quarterly Earnings Growth,Total Cash,Total Cash Per Share,Total Debt,Total Debt/Equity,Current Ratio,Book Value Per Share,Operating Cash Flow,Levered Free Cash Flow,Beta,50-Day Moving Average,200-Day Moving Average,Avg Vol (3 month),Shares Outstanding,Float,% Held by Insiders,% Held by Institutions,Shares Short,Short Ratio,Short % of Float,Shares Short (prior month
0,0,QDEL,0,0,0,0,8520000000.0,8560000000.000001,23.75,,,8.77,10.03,8.52,16.47,36.91,48.41,28.72,53.6,1000000000.0,23.9,276.4,320810000.0,537390000.0,370780000.0,8.54,1335.4,77550000.0,1.84,116500000.0,13.72,2.7,20.2,238360000.0,90250000.0,0.5,209.22,219.3,42070000.0,42070000.0,38160000.0,11.79,87.37,2430000.0,2.04,9.44,2440000.0
0,0,SD,0,0,0,0,111740000.0,112550000.0,,,,0.77,0.87,0.78,-0.26,0.0,-11.19,-1.8,-135.1,144510000.0,4.06,-52.6,156510000.0,75870000.0,-526340000.00000006,-14.776,,11190000.0,0.31,12000000.0,9.38,0.37,3.59,53150000.0,44770000.0,3.47,2.6866,1.8635,35930000.0,35930000.0,31590000.0,1.27,55.06,0.92,0.92,1.88,
0,0,RDC,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,LLY,0,0,0,0,151050000000.0,164350000000.0,25.89,19.61,1.22,6.21,31.29,7.08,20.32,24.01,27.76,9.84,131.77,23210000000.0,25.57,4.8,17600000000.0,7740000000.0,5570000000.0,6.11,-3.6,3630000000.0,4.01,17220000000.0,344.76,1.36,5.32,6650000000.0,4440000000.0,0.34,147.02,151.52,4330000.0,956580000.0,743840000.0,0.16,77.94,5550000.0,1.23,0.7,4890000.0
0,0,OMC,0,0,0,0,,,,,,,,,,7.1,13.73,4.91,31.86,13560000000.0,62.68,-11.5,2710000000.0,2089999999.9999998,962300000.0,4.43,8.0,3280000000.0,15.25,6930000000.0,208.1,0.98,12.27,1430000000.0,1660000000.0,0.88,59.28,55.04,2490000.0,214970000.0,213430000.0,0.83,97.11,11670000.0,3.62,6.21,10380000.0
0,0,DTE,0,0,0,0,23910000000.0,42790000000.0,17.5,17.3,3.12,1.97,1.94,3.55,11.83,11.3,16.36,2.97,11.66,12040000000.0,62.77,5.3,3420000000.0,3030000000.0,1360000000.0,7.07,49.2,945000000.0,4.88,19820000000.0,158.73,1.12,63.67,3530000000.0,-1370000000.0,0.58,127.33,117.63,1210000.0,193560000.0,192270000.0,0.59,74.83,1820000.0,1.38,1.22,1790000.0
0,0,XYL,0,0,0,0,17750000000.0,19300000000.0,80.07,37.74,3.83,3.66,6.19,3.96,30.64,4.6,10.38,3.96,7.76,4870000000.0,27.07,-5.9,2049999999.9999998,760000000.0,224000000.0,1.23,-43.1,1600000000.0,8.89,3150000000.0,109.7,2.59,15.92,842000000.0,548880000.0,1.01,95.08,81.97,180230000.0,180230000.0,179460000.0,1.03,90.93,2640000.0,3.09,1.66,2690000.0
0,0,X,0,0,0,0,4090000000.0,7520000000.0,,,,0.34,1.19,0.75,-9.14,-18.81,-8.5,-4.69,-48.86,10000000000.0,54.34,-23.8,936000000.0,-257000000.0,-1880000000.0,-10.22,,1700000000.0,7.7,5120000000.0,146.23,1.72,15.65,137000000.0,-461500000.0,2.46,13.44,9.37,13040000.0,220380000.0,219100000.0,1.14,56.59,36540000.0,2.85,16.73,38510000.0
0,0,AGN,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,TSLA,0,0,0,0,578210000000.0,578840000000.0,,151.52,1.23,22.03,36.07,20.54,148.34,1.97,6.11,2.74,5.59,28180000000.0,30.67,39.2,4070000000.0000005,4019999999.9999995,533000000.0,0.52,131.5,14530000000.0,15.33,15160000000.0,86.65,1.63,16.91,4350000000.0,2360000000.0,2.15,518.34,380.5,46240000.0,947900000.0,759510000.0,20.02,42.4,46500000.0,1.18,6.12,47800000.0
